EmployeeID,Date,CheckInTime,CheckOutTime
1,2024-01-16,14:38:47,13:11:31
1,2024-01-17,05:55:31,14:50:18
1,2024-01-18,11:57:46,01:55:49
1,2024-01-19,11:59:36,10:24:35
1,2024-01-20,13:51:07,00:53:46
1,2024-01-21,19:06:10,16:12:21
1,2024-01-22,10:28:16,03:12:08
1,2024-01-23,06:09:29,09:13:52
1,2024-01-24,09:26:08,08:24:51
1,2024-01-25,02:47:00,12:10:37
1,2024-01-26,05:49:43,13:44:50
1,2024-01-27,03:29:39,05:34:12
1,2024-01-28,07:18:13,09:29:12
1,2024-01-29,23:49:22,07:57:02
1,2024-01-30,15:53:09,14:40:46
1,2024-01-31,04:58:52,12:59:59
1,2024-02-01,05:46:51,21:10:52
1,2024-02-02,07:55:28,14:17:42
1,2024-02-03,05:54:00,23:34:06
1,2024-02-04,09:43:55,15:22:32
1,2024-02-05,19:19:14,19:43:03
1,2024-02-06,08:29:43,02:47:39
1,2024-02-07,19:15:02,02:26:25
1,2024-02-08,04:04:15,10:55:20
1,2024-02-09,00:40:04,20:33:34
1,2024-02-10,22:05:20,10:23:56
1,2024-02-11,10:15:57,07:47:17
1,2024-02-12,14:30:50,01:14:04
1,2024-02-13,06:59:59,16:01:39
1,2024-02-14,18:01:52,16:58:33
1,2024-02-15,12:35:29,19:43:41
1,2024-02-16,14:28:39,08:54:15
1,2024-02-17,22:49:13,11:30:23
1,2024-02-18,11:45:37,23:40:57
1,2024-02-19,20:21:44,21:53:16
1,2024-02-20,06:31:29,12:52:03
1,2024-02-21,15:20:24,01:00:02
1,2024-02-22,16:52:43,08:18:37
1,2024-02-23,12:32:02,21:33:18
1,2024-02-24,21:07:56,14:36:11
1,2024-02-25,11:38:45,23:25:56
1,2024-02-26,20:30:01,07:33:05
1,2024-02-27,13:31:35,18:07:06
1,2024-02-28,02:52:17,22:04:34
1,2024-02-29,03:18:05,06:08:46
1,2024-03-01,00:14:56,12:04:21
1,2024-03-02,12:45:05,09:48:30
1,2024-03-03,11:36:28,19:39:59
1,2024-03-04,17:48:30,23:06:44
1,2024-03-05,14:09:32,14:33:01
1,2024-03-06,09:01:40,01:13:02
1,2024-03-07,19:24:23,12:30:35
1,2024-03-08,09:23:20,19:13:03
1,2024-03-09,23:54:18,17:24:24
1,2024-03-10,21:22:07,09:39:01
1,2024-03-11,21:44:53,13:41:02
1,2024-03-12,08:00:14,19:34:56
1,2024-03-13,18:40:24,14:01:13
1,2024-03-14,08:53:47,02:41:37
1,2024-03-15,05:28:52,06:54:45
1,2024-03-16,15:49:06,11:39:34
1,2024-03-17,15:49:05,09:11:52
1,2024-03-18,08:40:50,20:56:17
1,2024-03-19,09:21:21,08:36:38
1,2024-03-20,14:01:10,11:34:50
1,2024-03-21,11:48:00,00:28:26
1,2024-03-22,06:49:45,13:52:21
1,2024-03-23,15:32:42,19:53:56
1,2024-03-24,20:30:56,04:34:52
1,2024-03-25,15:37:42,00:37:21
1,2024-03-26,08:58:14,11:14:30
1,2024-03-27,06:16:38,09:42:43
1,2024-03-28,08:10:17,14:39:04
1,2024-03-29,20:00:27,09:27:30
1,2024-03-30,11:47:15,06:03:53
1,2024-03-31,03:18:31,09:11:07
1,2024-04-01,16:47:25,07:55:14
1,2024-04-02,10:04:02,03:19:23
1,2024-04-03,17:39:26,10:28:45
1,2024-04-04,02:22:21,01:06:09
1,2024-04-05,14:26:16,10:53:48
1,2024-04-06,23:03:10,20:06:32
